experiment,stage,data_type,layer,minimum,maximum,maximum_abs,smallest_nonzero,zero_percent,observed_min_spacing,dynamic_range,FP16_range_ok,FP16_result,FP8_E4M3_range_ok,FP8_E4M3_result,FP8_E5M2_range_ok,FP8_E5M2_result,INT8_scale,INT8_quantization_step,INT8_zero_threshold,INT8_smallest_may_be_lost,INT8_result,INT16_scale,INT16_quantization_step,INT16_zero_threshold,INT16_smallest_may_be_lost,INT16_result
MobileNetV2_CIFAR100,inference,weights,features.7.conv.1.0.weight,-0.1086270213127136,0.130711942911148,0.130711942911148,1.1068964340665843e-05,0.0,3.2596290111541752e-09,11808.868371806962,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.0010292278969381732,0.0010292278969381732,0.0005146139484690866,True,SMALL VALUES MAY BE LOST,3.989133668359874e-06,3.989133668359874e-06,1.994566834179937e-06,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.7.conv.1.1.weight,1.0,1.0,1.0,1.0,0.0,0.0,1.0,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.007874015748031496,0.007874015748031496,0.003937007874015748,False,RANGE/STEP APPEARS ADEQUATE,3.051850947599719e-05,3.051850947599719e-05,1.5259254737998596e-05,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.7.conv.2.weight,-0.7119871377944946,0.7213674783706665,0.7213674783706665,7.672532774449792e-06,0.0,7.450580596923828e-09,94019.4717411809,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.0056800588848083975,0.0056800588848083975,0.0028400294424041988,True,SMALL VALUES MAY BE LOST,2.2015060224331386e-05,2.2015060224331386e-05,1.1007530112165693e-05,True,SMALL VALUES MAY BE LOST
MobileNetV2_CIFAR100,inference,weights,features.7.conv.3.weight,1.0,1.0,1.0,1.0,0.0,0.0,1.0,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.007874015748031496,0.007874015748031496,0.003937007874015748,False,RANGE/STEP APPEARS ADEQUATE,3.051850947599719e-05,3.051850947599719e-05,1.5259254737998596e-05,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.8.conv.0.0.weight,-0.2707288861274719,0.3126042187213897,0.3126042187213897,5.120145033288281e-06,0.0,1.3969838619232178e-09,61053.78200988727,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.0024614505411133048,0.0024614505411133048,0.0012307252705566524,True,SMALL VALUES MAY BE LOST,9.540214811285432e-06,9.540214811285432e-06,4.770107405642716e-06,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.8.conv.0.1.weight,1.0,1.0,1.0,1.0,0.0,0.0,1.0,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.007874015748031496,0.007874015748031496,0.003937007874015748,False,RANGE/STEP APPEARS ADEQUATE,3.051850947599719e-05,3.051850947599719e-05,1.5259254737998596e-05,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.8.conv.1.0.weight,-0.0946651920676231,0.0888859778642654,0.0946651920676231,1.83432189260202e-06,0.0,2.7939677238464355e-09,51607.731690613335,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.0007453952131308905,0.0007453952131308905,0.00037269760656544524,True,SMALL VALUES MAY BE LOST,2.8890405611628496e-06,2.8890405611628496e-06,1.4445202805814248e-06,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.8.conv.1.1.weight,1.0,1.0,1.0,1.0,0.0,0.0,1.0,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.007874015748031496,0.007874015748031496,0.003937007874015748,False,RANGE/STEP APPEARS ADEQUATE,3.051850947599719e-05,3.051850947599719e-05,1.5259254737998596e-05,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.8.conv.2.weight,-0.692403256893158,0.7509228587150574,0.7509228587150574,7.073393248901994e-07,0.0,3.725290298461914e-09,1061616.1611424948,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.005912778415079192,0.005912778415079192,0.002956389207539596,True,SMALL VALUES MAY BE LOST,2.291704637943838e-05,2.291704637943838e-05,1.145852318971919e-05,True,SMALL VALUES MAY BE LOST
MobileNetV2_CIFAR100,inference,weights,features.8.conv.3.weight,1.0,1.0,1.0,1.0,0.0,0.0,1.0,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.007874015748031496,0.007874015748031496,0.003937007874015748,False,RANGE/STEP APPEARS ADEQUATE,3.051850947599719e-05,3.051850947599719e-05,1.5259254737998596e-05,False,RANGE/STEP APPEARS ADEQUATE
